nominal_breadth,launch_target_per_3y,service_probability,analytic_probability
114,1,1.0,0.9999999924899552
114,2,1.0,0.9999998398150874
114,3,0.999996,0.9999983015323278
115,1,1.0,0.9999999936265258
115,2,1.0,0.9999998629209099
115,3,0.999996,0.9999985343361207
116,1,1.0,0.9999999945910877
116,2,1.0,0.9999998827019045
116,3,1.0,0.9999987354042118
117,1,1.0,0.9999999954096728
117,2,1.0,0.9999998996352194
117,3,1.0,0.9999989090363043
118,1,1.0,0.9999999961043731
118,2,1.0,0.9999999141297301
118,3,1.0,0.9999990589535955
119,1,1.0,0.9999999966939375
119,2,1.0,0.9999999265357769
119,3,1.0,0.9999991883759962
120,1,1.0,0.9999999971942771
120,2,1.0,0.9999999371535165
120,3,1.0,0.9999993000891358
