experiment,policy,rho,common_shock_probability,acceleration_years,loe_year,n_runs,eNPV_usd_m,se_eNPV_usd_m,median_NPV_usd_m,sd_NPV_usd_m,P5_NPV_usd_m,P10_NPV_usd_m,CVaR5_NPV_usd_m,probability_NPV_negative,eDevCost_usd_m,ePI,mean_launches,sd_launches,p_zero_launches,mean_pairwise_launch_correlation,effective_breadth_variance_ratio,mean_protected_runway_per_launch_years,mean_launches_before_loe,probability_at_least_one_launch_before_loe,mean_peak_annual_RnD_usd_m,mean_first_launch_year,probability_two_launches_by_year_9,low_capacity_breach_probability,low_mean_funding_need_usd_m,low_P95_funding_need_usd_m,base_capacity_breach_probability,base_mean_funding_need_usd_m,base_P95_funding_need_usd_m,high_capacity_breach_probability,high_mean_funding_need_usd_m,high_P95_funding_need_usd_m
E5,staged,0.415,0.0,0.5,15.0,100000,-269.93239223472307,2.311249083219208,-559.4006505566923,730.881134294875,-1284.984753055029,-1097.9577514909874,-1442.0599509819233,0.6499,998.8180511238472,-0.2702518160649993,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,6.858158968067116,0.89569,0.48523,331.1092,6.703711652053059,0.08407,0.87506,3895.63348,6536.75,0.6708,3021.0217175,5536.75,0.13172,1601.204105,3536.75
E5,staged,0.415,0.0,0.5,18.0,100000,131.24089726798303,3.7429244763203076,-559.4006505566923,1183.616645516514,-1258.4491370361577,-1080.1258878660672,-1379.5625372478376,0.58981,998.8180511238472,0.13139620085992015,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,9.843270219186259,0.90283,0.4884,331.1092,6.703711652053059,0.08407,0.62115,3189.2824275,6498.75,0.56899,2563.4660275,5498.75,0.10719,1409.8389025,3498.75
E5,parallel,0.415,0.0,1.0,12.0,100000,-259.8510132054697,2.586304134166731,-559.4006505566923,817.8611785876577,-1422.8239034190715,-1162.0329407982006,-1684.6135974721692,0.68195,1122.4875775630715,-0.23149566943948557,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,6.834002055907418,0.90471,0.48927,444.8473333333334,5.083553048419073,0.24108,0.90143,4082.8445625,6148.75,0.82641,3178.3968375,5148.75,0.09612,1534.5753,3148.75
E5,parallel,0.415,0.0,1.0,15.0,100000,294.7075189471076,4.776370679540135,-559.4006505566923,1510.4210296593033,-1209.1761310311156,-900.9664062064918,-1653.5654042872716,0.54738,1122.4875775630715,0.26254857945681653,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,9.834002055907417,0.90471,0.48927,444.8473333333334,5.083553048419073,0.24108,0.75892,3273.43275,6148.75,0.56337,2514.51275,5148.75,0.0955,1329.10145,3148.75
E5,parallel,0.415,0.0,1.0,18.0,100000,711.3555521195922,6.482497514628985,-559.4006505566923,2049.9457072608284,-1209.1761310311156,-900.9664062064918,-1653.6494248571003,0.52631,1122.4875775630715,0.6337313359529111,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,12.834002055907417,0.90471,0.48927,444.8473333333334,5.083553048419073,0.24108,0.52739,2880.1071375,6148.75,0.51073,2349.5073625,5148.75,0.0955,1327.0570875,3148.75
E5,staged,0.415,0.0,1.0,12.0,100000,-645.2178971829663,1.4675510557603906,-559.4006505566923,464.08039187876034,-1501.6944295283997,-1276.7597341339224,-1654.860539343491,0.86201,1014.5300040458189,-0.63597714666882,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,4.477213692785534,0.87336,0.47754,353.48,6.248574406769269,0.19337,1.0,5162.50461,7154.75,1.0,4162.50461,6154.75,0.18432,2162.50461,4154.75
E5,staged,0.415,0.0,1.0,15.0,100000,-168.93575136336497,2.684424948769942,-559.4006505566923,848.8897045893835,-1332.8405453576966,-1122.3291562281124,-1480.558333517847,0.64343,1014.5300040458189,-0.16651626929678798,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,7.4447834112588565,0.90035,0.4879,353.48,6.248574406769269,0.19337,0.85077,3717.0849725,6498.75,0.66108,2875.4745725,5498.75,0.11897,1516.365585,3498.75
E5,staged,0.415,0.0,1.0,18.0,100000,240.40436022800975,4.155881098121034,-559.4006505566923,1314.204995490418,-1276.7597341339224,-1085.3857440161191,-1415.9554819195546,0.56755,1014.5300040458189,0.23696131141445514,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,10.441279526035967,0.9044,0.48915,353.48,6.248574406769269,0.19337,0.60924,3102.7960525,6248.75,0.55526,2494.0637275,5248.75,0.10002,1374.6210525,3248.75
E5,parallel,0.415,0.0,1.5,12.0,100000,-144.96340543379992,3.0698398201187707,-559.4006505566923,970.7685883456905,-1292.6758217850233,-1169.2561083522546,-1698.5770846695395,0.66885,1134.2795121372026,-0.12780218974480176,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,7.251003083861127,0.90471,0.48927,528.552,4.62532957262861,0.24108,0.89181,3921.0328875,6148.75,0.78637,3043.07735,5148.75,0.09612,1463.707825,3148.75
E5,parallel,0.415,0.0,1.5,15.0,100000,409.5951267187773,5.280322980483305,-559.4006505566923,1669.784739965607,-1225.2505355833287,-909.8176432046507,-1675.281664278428,0.54738,1134.2795121372026,0.3611059904864372,0.90471,1.1979082459611243,0.51073,0.17354488257617526,3.212425262692548,10.251003083861127,0.90471,0.48927,528.552,4.62532957262861,0.24108,0.75892,3200.87425,6148.75,0.55789,2461.0257,5148.75,0.0955,1328.5429625,3148.75
