experiment,strategy,topology,rho,loe_year,acceleration_years,rnd_cost_synergy,commercial_cost_synergy,cannibalization,n_runs,eNPV_usd_m,se_eNPV_usd_m,median_NPV_usd_m,sd_NPV_usd_m,P5_NPV_usd_m,P10_NPV_usd_m,CVaR5_NPV_usd_m,probability_NPV_negative,eDevCost_usd_m,ePI,delta_eNPV_usd_m,paired_se_delta_eNPV_usd_m,paired_95ci_low_delta_eNPV_usd_m,paired_95ci_high_delta_eNPV_usd_m,mean_launches,sd_launches,p_zero_launches,mean_pairwise_launch_correlation,effective_breadth_variance_ratio,mean_protected_runway_per_launch_years,mean_launches_before_loe,probability_at_least_one_launch_before_loe,low_capacity_breach_probability,base_capacity_breach_probability,high_capacity_breach_probability
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.2,0.0,250000,144.8764619492411,2.6011712703292584,-559.4006505566923,1300.5856351646291,-1178.5694457769846,-884.1468803601001,-1596.8083643620653,0.5761,1100.4234782191143,0.1316551898580935,60.715982732627864,2.7206335754743085,55.383540924698224,66.0484245405575,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.594036,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.21,0.0,250000,147.89301818823503,2.6089349511169693,-559.4006505566923,1304.4674755584847,-1178.5694457769846,-884.1468803601001,-1596.8083643620653,0.5761,1100.4234782191143,0.13439645837762365,63.732538971621786,2.7264785591017806,58.388640995782296,69.07643694746127,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.594036,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.22,0.0,250000,150.90957442722896,2.6167022102333184,-559.4006505566923,1308.3511051166593,-1178.5694457769846,-884.1468803601001,-1596.8083643620653,0.5761,1100.4234782191143,0.13713772689715378,66.74909521061568,2.7323365259045556,61.39371561984275,72.1044748013886,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.594036,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.23,0.0,250000,153.92613066622286,2.624473015907578,-559.4006505566923,1312.236507953789,-1178.5694457769846,-884.1468803601001,-1596.8083643620653,0.5761,1100.4234782191143,0.13987899541668392,69.7656514496096,2.7382073925562107,64.39876496019943,75.13253793901978,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.586388,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.24,0.0,250000,156.94268690521682,2.632247336729768,-559.4006505566923,1316.123668364884,-1178.5694457769846,-884.1468803601001,-1596.8083643620653,0.5761,1100.4234782191143,0.1426202639362141,72.78220768860352,2.7440910762607063,67.40378917913253,78.16062619807451,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.586388,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.25,0.0,250000,159.9592431442107,2.640025141645766,-559.4006505566923,1320.012570822883,-1178.5694457769846,-884.1468803601001,-1596.8083643620653,0.5761,1100.4234782191143,0.14536153245574418,75.79876392759745,2.749987494750595,70.40878843788629,81.18873941730861,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.586388,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.26,0.0,250000,162.97579938320465,2.6478063999524943,-559.4006505566923,1323.9031999762472,-1178.5694457769846,-884.1468803601001,-1596.8083643620653,0.5761,1100.4234782191143,0.14810280097527437,78.81532016659136,2.7558965662851933,73.41376289667238,84.21687743651034,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.586388,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.27,0.0,250000,165.99235562219852,2.6555910812931804,-559.4006505566923,1327.7955406465903,-1178.5694457769846,-884.1468803601001,-1596.8083643620653,0.5761,1100.4234782191143,0.15084406949480447,81.83187640558526,2.7618182096487156,76.41871271467377,87.24504009649675,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.586388,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.28,0.0,250000,169.0089118611925,2.6633791556526893,-559.4006505566923,1331.6895778263447,-1178.5694457769846,-884.1468803601001,-1596.8083643620653,0.5761,1100.4234782191143,0.15358533801433466,84.84843264457922,2.7677523441483722,79.42363805004841,90.27322723911003,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.586388,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.29,0.0,250000,172.0254681001864,2.671170593352928,-559.4006505566923,1335.5852966764642,-1178.5694457769846,-884.1468803601001,-1596.8083643620653,0.5761,1100.4234782191143,0.1563266065338648,87.86498888357313,2.7736988896124313,82.42853905993277,93.30143870721349,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.586388,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.3,0.0,250000,175.04202433918033,2.6789653650483225,-559.4006505566923,1339.4826825241612,-1178.5694457769846,-884.1468803601001,-1596.8083643620653,0.5761,1100.4234782191143,0.15906787505339492,90.88154512256706,2.7796577663882496,85.4334159004461,96.32967434468803,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.586388,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.31,0.0,250000,178.05858057817423,2.6867634417213586,-559.4006505566923,1343.3817208606793,-1178.5694457769846,-884.1468803601001,-1596.8083643620653,0.5761,1100.4234782191143,0.16180914357292506,93.89810136156098,2.785628895340268,88.43826872669405,99.3579339964279,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.586388,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.32,0.0,250000,181.0751368171682,2.694564794678198,-559.4006505566923,1347.2823973390991,-1178.5694457769846,-884.1468803601001,-1596.8083643620653,0.5761,1100.4234782191143,0.16455041209245524,96.9146576005549,2.791612197847979,91.44309769277287,102.38621750833694,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.586388,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.33,0.0,250000,184.09169305616211,2.702369395544357,-559.4006505566923,1351.1846977721784,-1178.5694457769846,-884.1468803601001,-1596.8083643620653,0.5761,1100.4234782191143,0.16729168061198538,99.93121383954885,2.7976075958038615,94.44790295177327,105.41452472732442,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.586388,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.34,0.0,250000,187.108249295156,2.71017721626045,-559.4006505566923,1355.0886081302249,-1178.5694457769846,-884.1468803601001,-1596.8083643620653,0.5761,1100.4234782191143,0.1700329491315155,102.94777007854275,2.8036150116112863,97.45268465578462,108.44285550130087,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.586388,0.094716
E4_commercial_synergy,Parallel PIAP,same_asset,0.415,15.0,0.0,0.0,0.35,0.0,250000,190.12480553414989,2.7179882290779998,-559.4006505566923,1358.9941145389998,-1178.5694457769846,-884.1468803601001,-1596.8083643620653,0.5761,1100.4234782191143,0.17277421765104561,105.96432631753662,2.8096343681823965,100.45744295589913,111.47120967917411,0.90756,1.202861851546775,0.510932,0.17567247502487995,3.1942657363558955,9.0,0.90756,0.489068,0.75816,0.586388,0.094716
