experiment,strategy,topology,rho,loe_year,acceleration_years,rnd_cost_synergy,commercial_cost_synergy,cannibalization,n_runs,eNPV_usd_m,se_eNPV_usd_m,median_NPV_usd_m,sd_NPV_usd_m,P5_NPV_usd_m,P10_NPV_usd_m,CVaR5_NPV_usd_m,probability_NPV_negative,eDevCost_usd_m,ePI,delta_eNPV_usd_m,paired_se_delta_eNPV_usd_m,paired_95ci_low_delta_eNPV_usd_m,paired_95ci_high_delta_eNPV_usd_m,mean_launches,sd_launches,p_zero_launches,mean_pairwise_launch_correlation,effective_breadth_variance_ratio,mean_protected_runway_per_launch_years,mean_launches_before_loe,probability_at_least_one_launch_before_loe,low_capacity_breach_probability,base_capacity_breach_probability,high_capacity_breach_probability
E4_interaction,Parallel PIAP,same_asset,0.0,15.0,0.0,0.2,0.0,0.5,100000,28.20968779813118,1.9518731085457455,285.2776777804203,617.2364726637621,-961.5022449734774,-760.589774214128,-1085.9738946100078,0.38789,917.3326050763183,0.030751864309657078,-57.17645786761586,1.4449895320648787,-60.00863735046302,-54.3442783847687,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,9.0,0.90862,0.6261,0.95423,0.51305,0.0216
E4_interaction,Parallel PIAP,same_asset,0.0,15.0,0.0,0.3,0.0,0.5,100000,120.02672227233076,1.9886864480381121,364.36902164048536,628.8778727710527,-852.9686445717239,-713.9730533344037,-985.4080026398096,0.38292,825.5155706021187,0.1453960731289236,34.64057660658372,1.4026588288359612,31.89136530206524,37.389787911102204,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,9.0,0.90862,0.6261,0.95132,0.45431,0.01476
E4_interaction,Parallel PIAP,same_asset,0.0,18.0,0.0,0.0,0.0,0.0,100000,503.83485950905936,4.2175395702764,587.6271309369075,1333.7031163961205,-1148.2457813904614,-884.1468803601001,-1230.880019991988,0.38669,1100.9666740247173,0.45762952811934793,0.0,0.0,0.0,0.0,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.0,0.90862,0.6261,0.39981,0.3739,0.09533
E4_interaction,Parallel PIAP,same_asset,0.0,18.0,0.0,0.1,0.0,0.0,100000,595.6518939832589,4.269394158383839,666.7184747969727,1350.1009769510595,-1070.035845375231,-807.2064950938525,-1186.539786580206,0.37502,1009.1496395505178,0.5902513072774483,91.8170344741996,0.1001848458349625,91.62067217636307,92.01339677203613,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.0,0.90862,0.6261,0.38669,0.3739,0.05673
E4_interaction,Parallel PIAP,same_asset,0.0,18.0,0.0,0.2,0.0,0.0,100000,687.4689284574586,4.3229488707486246,745.8098186570378,1367.03646400185,-961.5022449734774,-760.589774214128,-1085.9738946100078,0.37398,917.3326050763183,0.7494216652206143,183.6340689483992,0.20036969166992485,183.24134435272614,184.02679354407226,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.0,0.90862,0.6261,0.38387,0.3739,0.0216
E4_interaction,Parallel PIAP,same_asset,0.0,18.0,0.0,0.3,0.0,0.0,100000,779.285962931658,4.378141318555344,824.901162517103,1384.4898484727698,-852.9686445717239,-713.9730533344037,-985.4080026398096,0.37393,825.5155706021187,0.9439991087790851,275.45110342259875,0.30055453750488736,274.86201652908915,276.04019031610835,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.0,0.90862,0.6261,0.37502,0.3739,0.01476
E4_interaction,Parallel PIAP,same_asset,0.0,18.0,0.0,0.0,0.0,0.1,100000,442.6618001018101,3.891060319993085,587.6271309369075,1230.461312428176,-1148.2457813904614,-884.1468803601001,-1230.880019991988,0.38669,1100.9666740247173,0.4020664844319094,-61.173059407249234,0.39266330595491006,-61.94267948692086,-60.40343932757761,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.0,0.90862,0.6261,0.39981,0.3739,0.09533
E4_interaction,Parallel PIAP,same_asset,0.0,18.0,0.0,0.1,0.0,0.1,100000,534.4788345760097,3.9417086227610834,666.7184747969727,1246.4777120650444,-1070.035845375231,-807.2064950938525,-1186.539786580206,0.37502,1009.1496395505178,0.5296328845879291,30.643975066950365,0.34763698783066865,29.962606570802254,31.325343563098475,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.0,0.90862,0.6261,0.38669,0.3739,0.05673
E4_interaction,Parallel PIAP,same_asset,0.0,18.0,0.0,0.2,0.0,0.1,100000,626.2958690502093,3.994228001296797,745.8098186570378,1263.085797811986,-961.5022449734774,-760.589774214128,-1085.9738946100078,0.37398,917.3326050763183,0.6827358643794244,122.46100954114998,0.3280129348706725,121.81810418880346,123.1039148934965,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.0,0.90862,0.6261,0.38387,0.3739,0.0216
E4_interaction,Parallel PIAP,same_asset,0.0,18.0,0.0,0.3,0.0,0.1,100000,718.1129035244089,4.048545639190411,824.901162517103,1280.2625430983949,-852.9686445717239,-713.9730533344037,-985.4080026398096,0.37393,825.5155706021187,0.8698962552585509,214.27804401534954,0.33824178075293126,213.61509012507378,214.9409979056253,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.0,0.90862,0.6261,0.37502,0.3739,0.01476
E4_interaction,Parallel PIAP,same_asset,0.0,18.0,0.0,0.0,0.0,0.25,100000,350.9022109909363,3.4274783389109524,587.6271309369075,1083.863818184913,-1148.2457813904614,-884.1468803601001,-1230.880019991988,0.38669,1100.9666740247173,0.3187219189007517,-152.932648518123,0.9816582648872746,-154.85669871730204,-151.00859831894394,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.0,0.90862,0.6261,0.39981,0.3739,0.09533
E4_interaction,Parallel PIAP,same_asset,0.0,18.0,0.0,0.1,0.0,0.25,100000,442.7192454651359,3.4755243081904217,666.7184747969727,1099.0572877162733,-1070.035845375231,-807.2064950938525,-1186.539786580206,0.37502,1009.1496395505178,0.4387052505536504,-61.11561404392343,0.930196190424571,-62.93879857715559,-59.29242951069127,0.90862,0.8799076303649036,0.3739,0.0008345714138451039,5.975087264523593,12.0,0.90862,0.6261,0.38669,0.3739,0.05673
